transaction_id,employee_id,employee_name,department,role,category,vendor,amount,payment_method,location,hour,is_weekend,is_night,is_fraud,fraud_type,emp_hist_mean,emp_hist_std,amount_deviation_score
TX-10005,EMP-1094,Employee 1094,Sales,Associate,Equipment,Best Buy,264.98,Corporate Credit Card,Domestic,17,0,0,0,None,196.93,17.01,4.0
TX-10862,EMP-1082,Employee 1082,Operations,Associate,Entertainment,City Arena,101.78,Corporate Credit Card,Domestic,16,0,0,0,None,69.06,30.89,1.06
TX-11585,EMP-1095,Employee 1095,Engineering,Associate,Entertainment,City Arena,125.56,Corporate Credit Card,Domestic,22,0,1,0,None,171.04,23.85,-1.91
TX-11049,EMP-1078,Employee 1078,Executive,Associate,Meals,Starbucks,277.58,Invoice/Wire,Domestic,15,0,0,0,None,183.5,23.52,4.0
TX-10155,EMP-1069,Employee 1069,Sales,Associate,Office Supplies,Target,162.37,Reimbursement Request,Domestic,16,0,0,0,None,135.84,49.21,0.54
TX-10566,EMP-1029,Employee 1029,HR,Contractor,Entertainment,TopGolf,185.97,Reimbursement Request,Domestic,11,0,0,0,None,212.32,50.52,-0.52
TX-11433,EMP-1038,Employee 1038,Executive,Manager,Equipment,Apple Store,508.33,Corporate Credit Card,International (Low Risk),8,0,0,0,None,579.05,90.38,-0.78
TX-11426,EMP-1087,Employee 1087,HR,Associate,Office Supplies,Amazon Business,62.06,Corporate Credit Card,Domestic,9,1,0,0,None,87.63,17.37,-1.47
TX-10164,EMP-1034,Employee 1034,HR,Associate,Consulting,McKinsey & Co,237.13,Invoice/Wire,Domestic,13,0,0,0,None,186.02,20.89,2.45
TX-11521,EMP-1056,Employee 1056,Executive,Associate,Software Licenses,Salesforce,88.62,Corporate Credit Card,Domestic,23,0,1,0,None,146.3,13.37,-4.31
TX-10746,EMP-1083,Employee 1083,Finance,Associate,Entertainment,TopGolf,118.81,Invoice/Wire,Domestic,22,0,1,0,None,194.79,28.29,-2.69
TX-11317,EMP-1004,Employee 1004,HR,Manager,Office Supplies,Amazon Business,168.89,Invoice/Wire,Domestic,23,1,1,0,None,452.12,102.48,-2.76
TX-10207,EMP-1076,Employee 1076,Marketing,Associate,Software Licenses,GitHub,173.28,Reimbursement Request,International (Low Risk),8,0,0,0,None,141.73,13.26,2.38
TX-10769,EMP-1097,Employee 1097,Finance,Contractor,Equipment,Best Buy,218.06,Reimbursement Request,International (Low Risk),17,0,0,0,None,215.22,30.77,0.09
TX-11580,EMP-1080,Employee 1080,Marketing,Associate,Equipment,Apple Store,115.78,Reimbursement Request,Domestic,15,0,0,0,None,131.4,21.46,-0.73
TX-11278,EMP-1006,Employee 1006,HR,Contractor,Entertainment,TopGolf,235.61,Corporate Credit Card,Domestic,8,0,0,0,None,208.19,34.53,0.79
TX-10047,EMP-1037,Employee 1037,Sales,Manager,Entertainment,Private Dining Services,1045.97,Invoice/Wire,Domestic,16,0,0,0,None,468.81,144.29,4.0
TX-10425,EMP-1031,Employee 1031,Marketing,Manager,Office Supplies,Amazon Business,771.96,Invoice/Wire,Domestic,16,0,0,0,None,764.85,130.81,0.05
TX-10394,EMP-1058,Employee 1058,Executive,Contractor,Software Licenses,Slack,424.71,Corporate Credit Card,Domestic,13,0,0,0,None,393.42,44.2,0.71
TX-10974,EMP-1028,Employee 1028,Marketing,Executive,Equipment,Apple Store,2221.27,Invoice/Wire,Domestic,11,0,0,0,None,2272.82,294.31,-0.18
TX-10137,EMP-1044,Employee 1044,HR,Manager,Entertainment,TopGolf,781.69,Corporate Credit Card,Domestic,16,0,0,0,None,484.83,74.22,4.0
TX-10583,EMP-1049,Employee 1049,HR,Associate,Office Supplies,Amazon Business,87.16,Invoice/Wire,Domestic,17,0,0,0,None,76.15,37.64,0.29
TX-11253,EMP-1003,Employee 1003,Engineering,Associate,Equipment,Dell Technologies,229.39,Corporate Credit Card,Domestic,22,0,1,0,None,190.78,10.03,3.85
TX-10864,EMP-1045,Employee 1045,Executive,Associate,Software Licenses,GitHub,42.29,Corporate Credit Card,International (Low Risk),23,0,1,0,None,144.85,35.34,-2.9
TX-11329,EMP-1033,Employee 1033,HR,Contractor,Office Supplies,Amazon Business,265.47,Corporate Credit Card,Domestic,11,1,0,0,None,284.84,70.37,-0.28
TX-10946,EMP-1017,Employee 1017,Finance,Associate,Travel,Marriott Hotels,149.94,Invoice/Wire,International (Low Risk),14,0,0,0,None,174.31,24.27,-1.0
TX-11219,EMP-1088,Employee 1088,Executive,Associate,Travel,Marriott Hotels,127.07,Reimbursement Request,Domestic,14,1,0,0,None,154.4,26.36,-1.04
TX-3228,EMP-1039,Employee 1039,Executive,Contractor,Consulting,Shadow Advisory Group,9899.32,Invoice/Wire,Domestic,14,0,0,1,Invoice Splitting,390.61,42.59,223.26
TX-11147,EMP-1004,Employee 1004,HR,Manager,Office Supplies,OfficeMax,621.8,Reimbursement Request,Domestic,15,0,0,0,None,452.12,102.48,1.66
TX-10991,EMP-1043,Employee 1043,Finance,Associate,Entertainment,City Arena,118.68,Corporate Credit Card,Domestic,17,0,0,0,None,197.85,19.68,-4.02
TX-10513,EMP-1072,Employee 1072,Engineering,Contractor,Equipment,Apple Store,141.68,Invoice/Wire,Domestic,12,0,0,0,None,167.6,40.45,-0.64
TX-10044,EMP-1086,Employee 1086,Engineering,Associate,Consulting,Accenture,127.65,Invoice/Wire,Domestic,8,0,0,0,None,169.28,20.83,-2.0
TX-10385,EMP-1018,Employee 1018,HR,Associate,Meals,Local Diner,116.03,Corporate Credit Card,Domestic,16,1,0,0,None,91.4,21.85,1.13
TX-11114,EMP-1024,Employee 1024,Finance,Associate,Consulting,McKinsey & Co,216.25,Corporate Credit Card,Domestic,16,0,0,0,None,145.63,45.49,1.55
TX-10124,EMP-1076,Employee 1076,Marketing,Associate,Office Supplies,Target,86.94,Reimbursement Request,Domestic,10,0,0,0,None,141.73,13.26,-4.13
TX-10126,EMP-1091,Employee 1091,Finance,Associate,Office Supplies,Target,227.4,Invoice/Wire,Domestic,12,1,0,0,None,133.15,34.47,2.73
TX-10198,EMP-1069,Employee 1069,Sales,Associate,Equipment,CDW Corporation,158.62,Corporate Credit Card,Domestic,11,1,0,0,None,135.84,49.21,0.46
TX-10559,EMP-1030,Employee 1030,Marketing,Manager,Consulting,McKinsey & Co,601.82,Reimbursement Request,Domestic,15,0,0,0,None,771.43,109.89,-1.54
TX-10610,EMP-1084,Employee 1084,Executive,Manager,Meals,Local Diner,981.93,Reimbursement Request,Domestic,13,0,0,0,None,565.68,104.06,4.0
TX-10179,EMP-1061,Employee 1061,HR,Associate,Office Supplies,Staples,163.59,Corporate Credit Card,Domestic,14,0,0,0,None,161.63,38.84,0.05
TX-10445,EMP-1086,Employee 1086,Engineering,Associate,Software Licenses,AWS,138.53,Corporate Credit Card,Domestic,13,0,0,0,None,169.28,20.83,-1.48
TX-11170,EMP-1040,Employee 1040,Engineering,Associate,Travel,Hertz,72.57,Invoice/Wire,Domestic,8,0,0,0,None,72.21,49.91,0.01
TX-11302,EMP-1025,Employee 1025,Sales,Associate,Office Supplies,Staples,145.47,Corporate Credit Card,International (Low Risk),16,0,0,0,None,195.76,43.96,-1.14
TX-3278,EMP-1079,Employee 1079,HR,Associate,Entertainment,TopGolf,9056.32,Corporate Credit Card,Domestic,23,1,1,1,Unauthorised Spend Limit Exceeded,115.77,36.88,242.42
TX-10833,EMP-1009,Employee 1009,Engineering,Contractor,Meals,UberEats,334.21,Invoice/Wire,Domestic,17,0,0,0,None,391.41,70.42,-0.81
TX-10281,EMP-1085,Employee 1085,Operations,Manager,Entertainment,City Arena,337.08,Corporate Credit Card,Domestic,10,0,0,0,None,366.37,146.95,-0.2
TX-10416,EMP-1044,Employee 1044,HR,Manager,Equipment,Best Buy,781.69,Reimbursement Request,Domestic,16,0,0,0,None,484.83,74.22,4.0
TX-10355,EMP-1029,Employee 1029,HR,Contractor,Meals,Local Diner,414.4,Reimbursement Request,International (Low Risk),22,0,1,0,None,212.32,50.52,4.0
TX-10834,EMP-1052,Employee 1052,Operations,Associate,Office Supplies,Target,196.74,Invoice/Wire,Domestic,9,0,0,0,None,172.58,32.21,0.75
TX-10775,EMP-1023,Employee 1023,Engineering,Manager,Equipment,CDW Corporation,535.11,Invoice/Wire,Domestic,12,0,0,0,None,485.41,116.88,0.43
TX-10850,EMP-1036,Employee 1036,Operations,Manager,Office Supplies,Target,505.16,Reimbursement Request,International (Low Risk),23,1,1,0,None,567.04,98.48,-0.63
TX-10675,EMP-1062,Employee 1062,Sales,Associate,Entertainment,Private Dining Services,77.19,Corporate Credit Card,Domestic,16,0,0,0,None,126.32,35.45,-1.39
TX-10467,EMP-1000,Employee 1000,Operations,Associate,Office Supplies,Target,68.77,Reimbursement Request,Domestic,13,0,0,0,None,77.52,41.19,-0.21
TX-10868,EMP-1059,Employee 1059,Executive,Associate,Software Licenses,Zoom,49.83,Corporate Credit Card,Domestic,8,1,0,0,None,153.78,36.08,-2.88
TX-3250,EMP-1067,Employee 1067,Sales,Contractor,Meals,Starbucks,318.63,Reimbursement Request,Domestic,19,0,0,0,None,267.49,43.98,1.16
TX-10478,EMP-1084,Employee 1084,Executive,Manager,Equipment,Best Buy,879.58,Corporate Credit Card,Domestic,23,0,1,0,None,565.68,104.06,3.02
TX-10117,EMP-1093,Employee 1093,Executive,Executive,Software Licenses,Slack,1559.5,Invoice/Wire,Domestic,16,0,0,0,None,1232.15,213.8,1.53
TX-11549,EMP-1031,Employee 1031,Marketing,Manager,Office Supplies,Target,324.37,Reimbursement Request,International (Low Risk),10,1,0,0,None,764.85,130.81,-3.37
TX-10563,EMP-1027,Employee 1027,Sales,Associate,Meals,UberEats,133.75,Corporate Credit Card,Domestic,10,0,0,0,None,66.63,27.57,2.43
TX-10951,EMP-1091,Employee 1091,Finance,Associate,Meals,Local Diner,195.05,Reimbursement Request,Domestic,8,0,0,0,None,133.15,34.47,1.8
TX-3292,EMP-1032,Employee 1032,Sales,Manager,Consulting,Shadow Advisory Group,16704.34,Invoice/Wire,International (High Risk),3,1,1,1,High-Risk Tax Haven Offshore Wire,528.27,71.84,225.17
TX-10856,EMP-1090,Employee 1090,Executive,Associate,Meals,UberEats,191.06,Corporate Credit Card,International (Low Risk),14,0,0,0,None,149.03,21.2,1.98
TX-10763,EMP-1083,Employee 1083,Finance,Associate,Travel,Airbnb,96.88,Invoice/Wire,Domestic,9,0,0,0,None,194.79,28.29,-3.46
TX-10697,EMP-1071,Employee 1071,Marketing,Manager,Office Supplies,OfficeMax,1152.86,Invoice/Wire,Domestic,12,0,0,0,None,578.4,143.62,4.0
TX-11451,EMP-1096,Employee 1096,Executive,Associate,Software Licenses,Slack,169.43,Corporate Credit Card,Domestic,8,0,0,0,None,109.78,34.63,1.72
TX-10727,EMP-1077,Employee 1077,Operations,Associate,Entertainment,City Arena,173.79,Reimbursement Request,Domestic,11,0,0,0,None,169.74,36.0,0.11
TX-10084,EMP-1099,Employee 1099,HR,Associate,Equipment,CDW Corporation,139.85,Corporate Credit Card,International (Low Risk),12,0,0,0,None,191.58,47.77,-1.08
TX-11018,EMP-1014,Employee 1014,Operations,Associate,Consulting,McKinsey & Co,66.39,Reimbursement Request,Domestic,12,0,0,0,None,117.46,25.81,-1.98
TX-11432,EMP-1075,Employee 1075,Executive,Associate,Consulting,Apex Legal,87.82,Invoice/Wire,Domestic,14,0,0,0,None,94.04,42.37,-0.15
TX-10811,EMP-1053,Employee 1053,HR,Associate,Equipment,Apple Store,229.61,Invoice/Wire,International (Low Risk),14,1,0,0,None,199.44,48.62,0.62
TX-10327,EMP-1080,Employee 1080,Marketing,Associate,Travel,Hertz,104.4,Corporate Credit Card,Domestic,8,0,0,0,None,131.4,21.46,-1.26
TX-10046,EMP-1065,Employee 1065,Sales,Associate,Software Licenses,GitHub,149.37,Invoice/Wire,Domestic,16,0,0,0,None,123.88,17.81,1.43
TX-10103,EMP-1065,Employee 1065,Sales,Associate,Office Supplies,Amazon Business,105.83,Corporate Credit Card,Domestic,17,0,0,0,None,123.88,17.81,-1.01
TX-11561,EMP-1074,Employee 1074,Engineering,Associate,Consulting,Delta Consulting,146.8,Invoice/Wire,Domestic,12,0,0,0,None,177.3,15.46,-1.97
TX-11461,EMP-1088,Employee 1088,Executive,Associate,Equipment,CDW Corporation,136.35,Reimbursement Request,International (Low Risk),22,0,1,0,None,154.4,26.36,-0.68
TX-11500,EMP-1077,Employee 1077,Operations,Associate,Equipment,Best Buy,114.05,Invoice/Wire,Domestic,10,0,0,0,None,169.74,36.0,-1.55
TX-11538,EMP-1086,Employee 1086,Engineering,Associate,Meals,Catering Co,167.82,Corporate Credit Card,International (Low Risk),10,0,0,0,None,169.28,20.83,-0.07
TX-11158,EMP-1058,Employee 1058,Executive,Contractor,Equipment,Best Buy,458.53,Corporate Credit Card,Domestic,22,0,1,0,None,393.42,44.2,1.47
TX-3282,EMP-1052,Employee 1052,Operations,Associate,Software Licenses,AWS,4820.18,Corporate Credit Card,Domestic,23,1,1,1,Unauthorised Spend Limit Exceeded,172.58,32.21,144.29
TX-10826,EMP-1008,Employee 1008,Marketing,Contractor,Software Licenses,AWS,530.18,Reimbursement Request,Domestic,11,0,0,0,None,320.08,52.52,4.0
TX-11080,EMP-1041,Employee 1041,Marketing,Associate,Entertainment,Vegas VIP Clubs,173.64,Invoice/Wire,Domestic,9,1,0,0,None,125.4,12.06,4.0
TX-10077,EMP-1097,Employee 1097,Finance,Contractor,Office Supplies,Amazon Business,266.95,Invoice/Wire,International (High Risk),13,0,0,0,None,215.22,30.77,1.68
TX-10964,EMP-1047,Employee 1047,Marketing,Manager,Meals,Catering Co,404.32,Reimbursement Request,Domestic,9,0,0,0,None,320.39,109.09,0.77
TX-10100,EMP-1013,Employee 1013,Executive,Associate,Equipment,Best Buy,201.58,Reimbursement Request,International (Low Risk),22,0,1,0,None,132.01,17.39,4.0
TX-10922,EMP-1070,Employee 1070,HR,Associate,Consulting,McKinsey & Co,114.82,Corporate Credit Card,Domestic,17,0,0,0,None,107.76,44.05,0.16
TX-10601,EMP-1068,Employee 1068,Executive,Associate,Travel,Marriott Hotels,47.98,Reimbursement Request,Domestic,8,1,0,0,None,52.32,47.13,-0.09
TX-10887,EMP-1046,Employee 1046,Marketing,Associate,Consulting,Shadow Advisory Group,128.72,Corporate Credit Card,Domestic,17,1,0,0,None,169.75,16.03,-2.56
TX-10140,EMP-1070,Employee 1070,HR,Associate,Software Licenses,GitHub,84.42,Invoice/Wire,International (Low Risk),16,0,0,0,None,107.76,44.05,-0.53
TX-10383,EMP-1012,Employee 1012,Executive,Associate,Equipment,Best Buy,82.2,Corporate Credit Card,Domestic,8,0,0,0,None,77.34,40.21,0.12
TX-11525,EMP-1086,Employee 1086,Engineering,Associate,Office Supplies,Amazon Business,175.89,Reimbursement Request,Domestic,14,0,0,0,None,169.28,20.83,0.32
TX-11297,EMP-1063,Employee 1063,Executive,Manager,Travel,Marriott Hotels,1143.74,Reimbursement Request,Domestic,16,0,0,0,None,786.51,89.31,4.0
TX-11150,EMP-1057,Employee 1057,HR,Contractor,Entertainment,TopGolf,274.71,Corporate Credit Card,International (Low Risk),9,0,0,0,None,301.61,30.46,-0.88
TX-10579,EMP-1070,Employee 1070,HR,Associate,Equipment,Best Buy,58.93,Invoice/Wire,Domestic,16,0,0,0,None,107.76,44.05,-1.11
TX-10328,EMP-1063,Employee 1063,Executive,Manager,Meals,Catering Co,1143.74,Invoice/Wire,Domestic,17,0,0,0,None,786.51,89.31,4.0
TX-3313,EMP-1006,Employee 1006,HR,Contractor,Equipment,Apple Store,3200.87,Corporate Credit Card,Domestic,2,1,1,1,Suspicious Off-hours Purchase,208.19,34.53,86.67
TX-10813,EMP-1081,Employee 1081,Engineering,Contractor,Meals,UberEats,87.37,Invoice/Wire,Domestic,13,0,0,0,None,212.56,31.94,-3.92
TX-10730,EMP-1065,Employee 1065,Sales,Associate,Entertainment,City Arena,94.25,Invoice/Wire,Domestic,16,0,0,0,None,123.88,17.81,-1.66
TX-10393,EMP-1048,Employee 1048,Marketing,Manager,Office Supplies,OfficeMax,414.31,Corporate Credit Card,Domestic,10,0,0,0,None,655.57,130.95,-1.84
TX-10206,EMP-1018,Employee 1018,HR,Associate,Equipment,CDW Corporation,48.93,Corporate Credit Card,Domestic,17,0,0,0,None,91.4,21.85,-1.94
TX-11374,EMP-1006,Employee 1006,HR,Contractor,Software Licenses,GitHub,120.49,Reimbursement Request,Domestic,8,0,0,0,None,208.19,34.53,-2.54
TX-11015,EMP-1081,Employee 1081,Engineering,Contractor,Software Licenses,Slack,340.33,Corporate Credit Card,Domestic,16,0,0,0,None,212.56,31.94,4.0
TX-10757,EMP-1052,Employee 1052,Operations,Associate,Meals,Catering Co,114.81,Corporate Credit Card,Domestic,16,0,0,0,None,172.58,32.21,-1.79
TX-11039,EMP-1063,Employee 1063,Executive,Manager,Entertainment,Vegas VIP Clubs,1134.44,Invoice/Wire,Domestic,10,0,0,0,None,786.51,89.31,3.9
TX-10912,EMP-1087,Employee 1087,HR,Associate,Equipment,Best Buy,72.46,Reimbursement Request,International (High Risk),16,0,0,0,None,87.63,17.37,-0.87
TX-10361,EMP-1013,Employee 1013,Executive,Associate,Meals,Starbucks,87.89,Corporate Credit Card,Domestic,12,1,0,0,None,132.01,17.39,-2.54
TX-10195,EMP-1049,Employee 1049,HR,Associate,Entertainment,Vegas VIP Clubs,179.34,Reimbursement Request,International (Low Risk),17,0,0,0,None,76.15,37.64,2.74
TX-11201,EMP-1033,Employee 1033,HR,Contractor,Software Licenses,GitHub,143.17,Reimbursement Request,Domestic,9,0,0,0,None,284.84,70.37,-2.01
TX-10927,EMP-1059,Employee 1059,Executive,Associate,Consulting,Delta Consulting,298.1,Reimbursement Request,Domestic,14,0,0,0,None,153.78,36.08,4.0
TX-10986,EMP-1062,Employee 1062,Sales,Associate,Entertainment,Vegas VIP Clubs,64.2,Invoice/Wire,Domestic,16,0,0,0,None,126.32,35.45,-1.75
TX-11533,EMP-1069,Employee 1069,Sales,Associate,Travel,Delta Airlines,214.91,Reimbursement Request,International (Low Risk),15,0,0,0,None,135.84,49.21,1.61
TX-11321,EMP-1099,Employee 1099,HR,Associate,Meals,Steakhouse,382.66,Reimbursement Request,International (Low Risk),15,0,0,0,None,191.58,47.77,4.0
TX-10970,EMP-1067,Employee 1067,Sales,Contractor,Software Licenses,Salesforce,350.12,Reimbursement Request,Domestic,14,0,0,0,None,267.49,43.98,1.88
TX-10326,EMP-1099,Employee 1099,HR,Associate,Travel,Airbnb,176.59,Invoice/Wire,Domestic,22,1,1,0,None,191.58,47.77,-0.31
TX-10540,EMP-1056,Employee 1056,Executive,Associate,Meals,Catering Co,132.61,Reimbursement Request,Domestic,12,0,0,0,None,146.3,13.37,-1.02
TX-11271,EMP-1047,Employee 1047,Marketing,Manager,Meals,Starbucks,471.21,Invoice/Wire,Domestic,15,0,0,0,None,320.39,109.09,1.38
TX-11046,EMP-1087,Employee 1087,HR,Associate,Entertainment,Private Dining Services,70.76,Corporate Credit Card,International (Low Risk),10,0,0,0,None,87.63,17.37,-0.97
TX-11142,EMP-1075,Employee 1075,Executive,Associate,Meals,Steakhouse,158.13,Corporate Credit Card,Domestic,10,0,0,0,None,94.04,42.37,1.51
TX-10979,EMP-1080,Employee 1080,Marketing,Associate,Equipment,Apple Store,183.85,Corporate Credit Card,International (Low Risk),9,0,0,0,None,131.4,21.46,2.44
TX-11573,EMP-1087,Employee 1087,HR,Associate,Office Supplies,Amazon Business,30.33,Invoice/Wire,Domestic,9,0,0,0,None,87.63,17.37,-3.3
TX-11063,EMP-1068,Employee 1068,Executive,Associate,Meals,Local Diner,56.72,Reimbursement Request,Domestic,16,0,0,0,None,52.32,47.13,0.09
TX-10043,EMP-1098,Employee 1098,Marketing,Associate,Entertainment,TopGolf,270.37,Reimbursement Request,International (High Risk),12,0,0,0,None,178.47,36.35,2.53
TX-10935,EMP-1067,Employee 1067,Sales,Contractor,Consulting,Shadow Advisory Group,442.59,Reimbursement Request,Domestic,8,1,0,0,None,267.49,43.98,3.98
TX-11442,EMP-1085,Employee 1085,Operations,Manager,Consulting,Shadow Advisory Group,269.08,Corporate Credit Card,Domestic,13,0,0,0,None,366.37,146.95,-0.66
TX-10397,EMP-1092,Employee 1092,Operations,Executive,Software Licenses,Zoom,1603.4,Corporate Credit Card,Domestic,8,0,0,0,None,2132.07,247.59,-2.14
TX-10939,EMP-1029,Employee 1029,HR,Contractor,Travel,Marriott Hotels,273.17,Reimbursement Request,Domestic,16,0,0,0,None,212.32,50.52,1.2
TX-11352,EMP-1004,Employee 1004,HR,Manager,Entertainment,City Arena,311.12,Invoice/Wire,Domestic,22,0,1,0,None,452.12,102.48,-1.38
TX-3231,EMP-1064,Employee 1064,Executive,Contractor,Consulting,Apex Legal,9802.38,Invoice/Wire,Domestic,14,0,0,1,Invoice Splitting,258.6,47.5,200.92
TX-10760,EMP-1047,Employee 1047,Marketing,Manager,Entertainment,City Arena,374.49,Reimbursement Request,Domestic,8,0,0,0,None,320.39,109.09,0.5
TX-11165,EMP-1076,Employee 1076,Marketing,Associate,Office Supplies,Target,113.28,Reimbursement Request,International (Low Risk),15,0,0,0,None,141.73,13.26,-2.15
TX-10052,EMP-1009,Employee 1009,Engineering,Contractor,Office Supplies,Amazon Business,204.63,Reimbursement Request,International (Low Risk),10,0,0,0,None,391.41,70.42,-2.65
TX-10890,EMP-1001,Employee 1001,Finance,Manager,Office Supplies,Amazon Business,274.02,Reimbursement Request,Domestic,8,0,0,0,None,378.0,55.81,-1.86
TX-11599,EMP-1028,Employee 1028,Marketing,Executive,Meals,Local Diner,2821.39,Corporate Credit Card,Domestic,13,0,0,0,None,2272.82,294.31,1.86
TX-10095,EMP-1079,Employee 1079,HR,Associate,Entertainment,TopGolf,153.32,Corporate Credit Card,International (Low Risk),12,0,0,0,None,115.77,36.88,1.02
TX-11218,EMP-1049,Employee 1049,HR,Associate,Entertainment,TopGolf,83.3,Reimbursement Request,Domestic,10,0,0,0,None,76.15,37.64,0.19
TX-10022,EMP-1052,Employee 1052,Operations,Associate,Travel,Hertz,139.95,Corporate Credit Card,International (Low Risk),12,0,0,0,None,172.58,32.21,-1.01
TX-10012,EMP-1064,Employee 1064,Executive,Contractor,Entertainment,TopGolf,448.61,Reimbursement Request,International (Low Risk),9,1,0,0,None,258.6,47.5,4.0
TX-3251,EMP-1067,Employee 1067,Sales,Contractor,Meals,Starbucks,318.63,Reimbursement Request,Domestic,21,0,0,1,Duplicate Claim,267.49,43.98,1.16
TX-11155,EMP-1043,Employee 1043,Finance,Associate,Meals,Starbucks,173.99,Corporate Credit Card,Domestic,14,0,0,0,None,197.85,19.68,-1.21
TX-10728,EMP-1030,Employee 1030,Marketing,Manager,Equipment,Apple Store,543.01,Invoice/Wire,Domestic,9,0,0,0,None,771.43,109.89,-2.08
TX-10054,EMP-1020,Employee 1020,HR,Associate,Office Supplies,Amazon Business,48.03,Corporate Credit Card,Domestic,11,0,0,0,None,52.11,17.95,-0.23
TX-3285,EMP-1034,Employee 1034,HR,Associate,Consulting,Accenture,8609.45,Corporate Credit Card,Domestic,23,1,1,1,Unauthorised Spend Limit Exceeded,186.02,20.89,403.23
TX-10705,EMP-1096,Employee 1096,Executive,Associate,Software Licenses,Salesforce,62.23,Corporate Credit Card,International (High Risk),12,1,0,0,None,109.78,34.63,-1.37
TX-11195,EMP-1015,Employee 1015,HR,Associate,Office Supplies,Amazon Business,152.82,Reimbursement Request,Domestic,15,0,0,0,None,188.28,13.54,-2.62
TX-10482,EMP-1052,Employee 1052,Operations,Associate,Consulting,McKinsey & Co,120.74,Invoice/Wire,Domestic,14,1,0,0,None,172.58,32.21,-1.61
TX-11013,EMP-1000,Employee 1000,Operations,Associate,Entertainment,City Arena,139.81,Invoice/Wire,Domestic,10,0,0,0,None,77.52,41.19,1.51
TX-10857,EMP-1029,Employee 1029,HR,Contractor,Equipment,Dell Technologies,239.38,Reimbursement Request,Domestic,17,0,0,0,None,212.32,50.52,0.54
TX-10841,EMP-1044,Employee 1044,HR,Manager,Office Supplies,Staples,692.34,Invoice/Wire,Domestic,15,0,0,0,None,484.83,74.22,2.8
